date,open,high,low,close,volume
15-Jun-2017,340,346,333.05,344.8,3931911
16-Jun-2017,347,348,335.4,339.1,1515008
19-Jun-2017,338.8,339.1,328.8,330.3,1218948
20-Jun-2017,331.4,336.05,327.1,334.8,1397542
21-Jun-2017,334,339.15,332.75,337.55,1048543
22-Jun-2017,338,342.5,330.8,332.1,1709306
23-Jun-2017,334.7,336.8,327,328.9,1117821
27-Jun-2017,327,332.9,319.9,322.95,1370680
28-Jun-2017,322.95,329.55,319.25,328,1010224
29-Jun-2017,329.1,334.4,325.75,332.15,3272359
30-Jun-2017,328.45,332.65,326.7,331.05,808101
03-Jul-2017,330,332.25,328.1,331.3,436674
04-Jul-2017,333.7,335.5,328,333.65,890683
05-Jul-2017,335,341,333.4,339.55,826357
06-Jul-2017,342,343.5,337.55,339.25,579405
07-Jul-2017,338.8,343.8,335.15,336.85,864929
10-Jul-2017,370,370,316.25,322.05,590777
11-Jul-2017,325.3,329.4,322.2,322.8,1186829
12-Jul-2017,345.2,369.85,340.25,366.75,19839977
13-Jul-2017,368,370,357.35,367.7,8277701
14-Jul-2017,389.75,404.45,386.25,400.35,19381917
17-Jul-2017,400.35,412.4,394,409,7457948
18-Jul-2017,405.55,419.5,398.15,413.05,6765543
19-Jul-2017,414.25,438.85,413.15,416.95,5454141
20-Jul-2017,418.9,419.9,399.2,402.6,4114815
21-Jul-2017,403,409.55,393.2,400.25,3032146
24-Jul-2017,399,405.9,396.1,399,2090835
25-Jul-2017,399.6,408,395.5,403.7,2344243
26-Jul-2017,405,407.75,398.45,403.4,2188044
27-Jul-2017,405.9,408.05,396.5,399.3,2552540
28-Jul-2017,372,394,371.2,390.65,4724394
31-Jul-2017,391,395.55,383.45,384.7,1931685
01-Aug-2017,370.5,381,370.5,376.7,3282809
02-Aug-2017,377.5,386.7,376.05,384.35,1942603
03-Aug-2017,382.05,383.95,374.05,374.85,1579103
04-Aug-2017,352.4,359.6,346.5,357,9593344
07-Aug-2017,360.2,362.1,353.4,354.25,1723793
08-Aug-2017,355.7,358.55,348.6,349.95,2005421
09-Aug-2017,351,351,336,339,1632080
10-Aug-2017,337,343.4,322.5,331.1,1985991
11-Aug-2017,330,346.6,324.2,340.55,2566989
14-Aug-2017,344.8,352,338.2,349.3,1812643
16-Aug-2017,350,351.45,320.25,328.4,10810055
17-Aug-2017,326,337.95,318.05,328.4,6874084
18-Aug-2017,329,331.85,324.2,328.95,2231028
21-Aug-2017,330,330.9,325.15,327.35,1651928
22-Aug-2017,329,332.3,326,328.4,1716908
23-Aug-2017,329,334.8,328,330.1,1393830
24-Aug-2017,330,340.25,330,338.95,2602725
28-Aug-2017,342,346.5,339.2,344.1,1549324
29-Aug-2017,343.1,348.55,337.3,342.55,1564031
30-Aug-2017,345,349.4,341.3,343.8,1248928
31-Aug-2017,339,343.7,335.2,337,2791153
01-Sep-2017,339,342.5,335.35,338.05,1313543
04-Sep-2017,339.85,339.85,330.2,331.75,1326667
05-Sep-2017,333.75,335,329.25,334.1,1357049
06-Sep-2017,332.45,337.9,330,333.05,1351308
07-Sep-2017,336.9,343.9,334.05,334.75,1880521
08-Sep-2017,347.3,353,339.45,342.45,6173176
11-Sep-2017,345,345.6,335.6,336.75,1096464
12-Sep-2017,337.6,342.65,337.1,341.35,1123128
13-Sep-2017,342,346.6,337.5,338.8,1009131
14-Sep-2017,339.5,347.5,339.35,344.05,1299527
15-Sep-2017,341.55,349.65,341.1,348.05,2676653
18-Sep-2017,351,357.8,347.25,356.9,2058757
19-Sep-2017,369.85,369.85,357.85,359.2,3351829
20-Sep-2017,361.5,361.5,352.4,354.75,1069573
21-Sep-2017,355.5,365,354.65,364.15,2797195
22-Sep-2017,362,363.6,353.6,355.3,1121514
25-Sep-2017,354.8,355,338,342.5,1033806
26-Sep-2017,343.45,348,342.2,344.5,739226
27-Sep-2017,346,346.95,334.45,338.25,771622
28-Sep-2017,337,339.9,328,330.35,1544439
29-Sep-2017,334,335.75,329.45,332.15,1218178
03-Oct-2017,335,338.05,333.7,337,706649
04-Oct-2017,338,341.75,336,339.85,632811
05-Oct-2017,340.5,348.95,336.65,343.95,1209960
06-Oct-2017,345.3,352.4,341.2,350.9,3321645
09-Oct-2017,351,352,342,344.2,1666632
10-Oct-2017,350,371.6,345.15,369.15,7755665
11-Oct-2017,372,374.6,363,367.35,3729568
12-Oct-2017,367.35,376.35,366.45,371.85,1516756
13-Oct-2017,371.7,374,364.05,370.65,1204520
16-Oct-2017,371.5,378.6,370.05,375,1255821
17-Oct-2017,375,388.5,372.85,385.9,1964030
18-Oct-2017,386.25,386.25,377.7,382.05,793428
19-Oct-2017,383,386.2,373.25,376.25,266606
23-Oct-2017,378.25,378.25,360.1,362.4,1626246
24-Oct-2017,364,368.2,362.2,365.8,1115502
25-Oct-2017,368.5,370.7,359.1,367.05,1377963
26-Oct-2017,367.5,373.5,354.35,368.25,4621989
27-Oct-2017,350,364.65,343.55,358.95,4258009
30-Oct-2017,360,367.5,358.75,366.45,1448779
31-Oct-2017,367,367,358.45,359.2,1470331
01-Nov-2017,358.1,365.25,357.2,362.95,916406
02-Nov-2017,363.45,383.85,362.15,380.3,4079283
03-Nov-2017,380,419.8,374.4,406.7,11876529
06-Nov-2017,403.55,414.75,398,412,2288697
07-Nov-2017,414,421.05,400.3,403.2,3056690
08-Nov-2017,404,417,400.25,403,1742362
09-Nov-2017,405,413.6,393.9,400.85,1947256
10-Nov-2017,401.5,406.4,385.7,390.25,1422630
13-Nov-2017,392.7,394.75,375.3,377.55,1348633
14-Nov-2017,379,379.25,365.1,367.4,1687784
15-Nov-2017,368,396.65,367.45,391.7,6080386
16-Nov-2017,392,392.7,379,382.45,1872630
17-Nov-2017,386,409.9,385.4,394.35,4369089
