date,close,open,high,low,volume
29-Apr-2002,7.72,7.70,7.82,7.53,13000000
30-Apr-2002,8.02,7.80,8.07,7.70,6890000
2-May-2002,8.96,8.05,9.22,8.05,16700000
3-May-2002,9.29,9.16,9.49,8.91,13400000
6-May-2002,9.34,9.40,9.65,9.19,8050000
7-May-2002,9.06,9.37,9.37,8.93,4820000
8-May-2002,8.68,9.10,9.14,8.52,3210000
9-May-2002,8.74,8.94,8.94,8.57,2540000
10-May-2002,8.67,9.60,9.60,8.58,1580000
13-May-2002,8.93,8.80,9.00,8.78,2630000
14-May-2002,8.70,9.00,9.00,8.65,1130000
15-May-2002,8.52,8.76,8.85,8.48,1400000
16-May-2002,8.25,8.56,8.56,8.22,820000000
17-May-2002,8.03,8.20,8.33,7.80,1810000
20-May-2002,7.74,7.99,8.00,7.66,1190000
21-May-2002,7.45,7.70,7.70,7.21,1360000
22-May-2002,7.43,7.31,7.64,7.28,866000000
23-May-2002,7.52,7.55,7.62,7.40,1090000
24-May-2002,7.77,7.70,7.93,7.68,1390000
27-May-2002,7.82,7.90,7.96,7.76,1000000
28-May-2002,7.62,7.90,8.00,7.60,920000000
29-May-2002,7.92,7.77,7.99,7.71,799000000
30-May-2002,7.80,8.00,8.26,7.72,2140000
31-May-2002,7.79,7.95,8.09,7.65,1320000
3-Jun-2002,7.62,8.10,8.10,7.50,1090000
4-Jun-2002,7.88,7.89,8.04,7.66,1770000
5-Jun-2002,8.55,8.20,8.68,7.93,8420000
6-Jun-2002,8.43,8.75,8.90,8.27,2890000
7-Jun-2002,8.58,8.63,8.90,8.39,4980000
10-Jun-2002,9.00,8.79,9.10,8.56,5090000
11-Jun-2002,10.01,9.31,10.15,9.10,11600000
12-Jun-2002,9.71,9.81,10.34,9.56,8250000
13-Jun-2002,9.63,9.98,10.00,9.58,2450000
14-Jun-2002,9.59,9.78,9.85,9.42,2400000
17-Jun-2002,9.58,11.00,11.00,9.51,2000000
18-Jun-2002,9.38,9.64,9.76,9.32,1170000
19-Jun-2002,9.48,9.75,10.17,9.42,2960000
20-Jun-2002,9.68,9.98,9.98,9.40,2300000
21-Jun-2002,9.86,9.80,10.00,9.65,3880000
24-Jun-2002,9.74,9.98,9.98,9.50,1050000
25-Jun-2002,9.57,9.78,9.78,9.50,545000000
26-Jun-2002,9.41,11.20,11.20,9.35,905000000
27-Jun-2002,9.48,9.48,9.64,9.38,803000000
28-Jun-2002,9.64,9.70,9.77,9.50,1180000
1-Jul-2002,9.57,9.60,9.74,9.55,825000000
2-Jul-2002,9.50,9.60,9.67,9.45,653000000
3-Jul-2002,9.51,9.46,9.57,9.46,305000000
4-Jul-2002,9.72,9.56,9.90,9.52,2410000
5-Jul-2002,9.85,9.90,9.95,9.60,3460000
8-Jul-2002,9.86,9.90,10.04,9.80,2790000
9-Jul-2002,9.77,9.90,9.92,9.70,716000000
10-Jul-2002,9.83,9.76,9.88,9.65,1160000
11-Jul-2002,9.36,9.70,9.90,9.30,1430000
12-Jul-2002,9.51,9.45,9.60,9.42,673000000
15-Jul-2002,9.77,11.22,11.22,9.36,1960000
16-Jul-2002,9.50,9.60,9.78,9.42,1120000
17-Jul-2002,9.33,9.58,9.58,9.25,468000000
18-Jul-2002,9.38,9.41,9.50,9.28,271000000
19-Jul-2002,9.30,8.60,9.40,8.60,317000000
22-Jul-2002,8.96,9.20,9.20,8.92,508000000
23-Jul-2002,9.12,9.24,9.24,8.82,321000000
24-Jul-2002,9.14,9.02,9.20,9.00,614000000
25-Jul-2002,9.12,9.70,9.70,9.05,417000000
26-Jul-2002,8.91,9.09,9.20,8.82,842000000
29-Jul-2002,8.70,9.00,9.18,8.62,972000000
30-Jul-2002,8.74,8.95,8.98,8.70,604000000
31-Jul-2002,8.58,8.74,8.74,8.53,752000000
1-Aug-2002,8.80,8.70,8.86,8.64,776000000
2-Aug-2002,9.15,10.12,10.12,8.20,978000000
5-Aug-2002,9.32,9.40,9.43,9.04,1660000
6-Aug-2002,9.11,9.20,9.22,9.06,1360000
7-Aug-2002,8.95,9.36,9.36,8.91,676000000
8-Aug-2002,8.96,8.89,9.04,8.86,920000000
9-Aug-2002,8.87,9.02,9.02,8.82,344000000
12-Aug-2002,8.91,7.45,9.07,7.45,656000000
13-Aug-2002,8.89,9.04,9.04,8.86,629000000
