date,close,open,high,low,volume
26-Aug-2004,120.50,122.10,122.71,120.04,21300000
27-Aug-2004,118.48,120.91,120.91,117.98,30600000
30-Aug-2004,121.45,119.38,121.85,118.77,24400000
31-Aug-2004,121.62,121.42,121.85,120.13,21100000
1-Sep-2004,121.59,121.85,122.47,121.06,19900000
2-Sep-2004,122.30,121.84,123.65,121.36,21300000
3-Sep-2004,122.82,123.82,135.39,121.89,9870000
6-Sep-2004,122.45,127.99,127.99,122.21,9040000
7-Sep-2004,122.54,127.39,127.39,122.47,5770000
8-Sep-2004,122.31,122.59,123.18,121.99,6590000
9-Sep-2004,120.61,122.71,122.82,120.43,7950000
10-Sep-2004,121.70,121.85,121.85,120.13,6420000
13-Sep-2004,123.51,121.97,124.99,121.97,20900000
14-Sep-2004,125.01,123.70,125.40,123.44,15300000
15-Sep-2004,123.83,125.30,125.54,123.23,11900000
16-Sep-2004,124.12,123.94,124.93,123.39,7360000
17-Sep-2004,126.10,124.56,126.76,124.35,14600000
20-Sep-2004,125.90,127.07,127.62,125.56,8550000
21-Sep-2004,128.72,126.14,129.05,125.79,13900000
22-Sep-2004,129.49,129.04,129.97,127.65,15300000
23-Sep-2004,126.80,128.99,129.11,126.40,15800000
24-Sep-2004,126.63,126.66,128.00,126.28,8080000
27-Sep-2004,125.64,126.47,127.08,124.93,8230000
28-Sep-2004,125.00,125.05,126.45,124.62,6340000
29-Sep-2004,126.90,125.45,127.14,125.07,11700000
30-Sep-2004,126.42,127.46,128.12,125.62,12500000
1-Oct-2004,128.95,126.65,130.03,126.32,10900000
4-Oct-2004,132.50,130.10,133.05,129.78,15100000
5-Oct-2004,133.01,132.96,134.04,132.37,14300000
6-Oct-2004,133.12,133.05,135.73,132.32,17600000
7-Oct-2004,135.03,133.30,135.39,133.30,10000000
8-Oct-2004,135.15,135.14,136.74,134.77,8560000
9-Oct-2004,135.47,135.38,135.86,134.68,2070000
11-Oct-2004,134.07,135.39,136.80,133.54,9330000
12-Oct-2004,133.48,136.62,137.24,132.64,15600000
14-Oct-2004,137.38,135.76,138.34,133.92,19200000
15-Oct-2004,138.59,138.06,140.44,137.51,17800000
18-Oct-2004,139.97,139.57,140.56,138.50,13600000
19-Oct-2004,140.71,140.33,141.38,139.83,11700000
20-Oct-2004,139.48,140.90,141.53,138.96,7210000
21-Oct-2004,138.53,139.97,140.19,138.10,6410000
25-Oct-2004,137.52,138.47,138.71,136.71,9390000
26-Oct-2004,139.97,137.31,140.43,137.31,6930000
27-Oct-2004,140.30,140.59,141.30,139.72,7840000
28-Oct-2004,143.51,140.93,144.60,140.93,18500000
29-Oct-2004,142.31,143.75,143.75,140.95,8660000
1-Nov-2004,144.08,141.54,144.55,140.60,6140000
2-Nov-2004,142.74,139.08,145.20,138.47,8860000
3-Nov-2004,144.64,142.90,145.73,142.90,8980000
4-Nov-2004,144.05,145.45,146.21,143.72,6560000
5-Nov-2004,143.44,144.49,145.24,142.77,5020000
8-Nov-2004,145.75,143.39,146.33,142.28,10200000
9-Nov-2004,146.27,146.10,147.44,144.87,7340000
10-Nov-2004,147.00,146.59,147.57,146.48,5730000
11-Nov-2004,147.24,147.57,148.12,146.60,5240000
12-Nov-2004,147.30,148.19,148.68,146.49,1810000
16-Nov-2004,146.58,147.45,147.45,145.73,4010000
17-Nov-2004,148.36,146.65,148.92,146.65,5470000
18-Nov-2004,151.51,148.86,151.95,148.50,7470000
19-Nov-2004,149.80,151.76,152.25,149.06,6810000
22-Nov-2004,150.46,148.66,150.90,147.08,4740000
23-Nov-2004,152.07,151.46,152.87,150.67,4310000
24-Nov-2004,151.87,152.50,153.24,151.41,3220000
25-Nov-2004,149.77,151.88,153.11,148.76,6310000
29-Nov-2004,153.10,149.67,153.57,148.38,5280000
30-Nov-2004,156.89,153.62,158.28,153.24,10500000
1-Dec-2004,155.27,157.67,157.67,154.71,8480000
2-Dec-2004,152.94,155.70,157.17,152.51,9660000
3-Dec-2004,152.22,153.76,154.58,150.35,9780000
6-Dec-2004,149.49,152.62,153.85,148.74,11400000
7-Dec-2004,149.94,149.67,151.75,149.54,7860000
8-Dec-2004,147.80,149.91,150.97,147.21,7330000
9-Dec-2004,149.11,148.31,149.79,148.29,3800000
10-Dec-2004,150.85,150.16,152.07,149.42,6220000
13-Dec-2004,152.15,150.90,152.82,150.81,5000000
14-Dec-2004,151.78,152.87,153.20,151.43,3080000
15-Dec-2004,153.30,153.11,154.44,152.37,5770000
16-Dec-2004,155.41,153.66,155.70,152.37,4350000
17-Dec-2004,154.65,155.08,156.90,154.11,5510000
20-Dec-2004,155.40,155.08,156.13,154.65,2270000
21-Dec-2004,156.65,155.69,157.17,155.47,3460000
22-Dec-2004,152.64,156.94,156.94,151.39,6000000
23-Dec-2004,151.13,153.57,153.57,150.77,3950000
24-Dec-2004,156.06,151.75,156.56,150.35,6660000
27-Dec-2004,156.38,156.31,158.16,155.35,4400000
28-Dec-2004,161.16,156.56,161.73,155.85,9610000
29-Dec-2004,162.50,162.09,164.55,161.62,6630000
30-Dec-2004,159.59,162.22,163.45,159.00,5630000
31-Dec-2004,164.37,160.01,164.78,159.59,4900000
3-Jan-2005,166.56,164.37,166.98,164.37,4730000
4-Jan-2005,165.08,166.16,166.65,164.09,4980000
5-Jan-2005,163.08,164.95,164.95,157.58,9600000
6-Jan-2005,162.52,162.47,165.67,159.08,8010000
7-Jan-2005,164.92,163.70,165.54,161.56,7620000
10-Jan-2005,163.38,165.99,167.32,162.71,7520000
11-Jan-2005,161.70,163.70,164.35,160.13,7990000
12-Jan-2005,159.77,163.20,168.37,158.37,20700000
13-Jan-2005,159.13,161.24,164.77,156.93,27700000
14-Jan-2005,159.56,160.58,162.21,157.17,15700000
17-Jan-2005,155.48,161.19,161.19,152.65,13600000
18-Jan-2005,155.56,156.89,158.04,154.77,6180000
19-Jan-2005,154.52,155.82,156.77,153.99,3540000
20-Jan-2005,153.08,154.47,154.47,151.39,4540000
24-Jan-2005,150.24,153.08,153.53,149.59,3630000
25-Jan-2005,152.06,149.52,152.61,148.57,4470000
27-Jan-2005,152.69,153.02,154.32,152.04,5460000
28-Jan-2005,158.68,152.97,159.37,152.93,8390000
31-Jan-2005,160.05,159.76,161.46,158.81,5850000
1-Feb-2005,161.88,160.87,162.47,158.41,8020000
2-Feb-2005,161.11,162.34,162.89,160.37,4870000
3-Feb-2005,161.37,161.48,161.82,160.25,3330000
4-Feb-2005,160.80,161.24,162.71,160.07,2680000
7-Feb-2005,161.70,161.56,163.78,160.13,5940000
8-Feb-2005,161.97,161.70,162.84,160.99,3280000
9-Feb-2005,164.04,162.59,165.37,162.56,5540000
10-Feb-2005,164.02,163.70,165.36,162.84,4380000
11-Feb-2005,170.07,164.68,170.71,164.68,10300000
14-Feb-2005,173.50,171.21,174.53,171.21,8880000
15-Feb-2005,170.02,173.54,174.16,169.11,3980000
16-Feb-2005,168.39,172.19,172.19,167.51,3130000
17-Feb-2005,170.08,168.39,170.59,166.23,4120000
18-Feb-2005,169.24,169.85,171.33,166.77,2550000
